name,frames,width,height,origin_x,origin_y,bbox_left,bbox_top,bbox_right,bbox_bottom
heli,8,32,32,0,0,8,11,24,26
bg,1,142,269,0,0,0,0,141,268
slope1,1,32,352,0,0,0,0,31,351
slope2,1,32,352,0,0,0,0,31,351
slope3,1,32,352,0,0,0,0,31,351
smoke,7,32,32,0,0,0,0,31,31
scores,3,100,32,0,0,1,1,98,30
highscore,3,100,32,102,0,1,1,98,31
block,1,32,32,0,0,2,3,28,28
cloud1,1,142,69,0,69,0,0,141,68
cloud2,1,142,81,0,81,0,0,141,80
skycity1,1,56,93,0,0,0,0,55,92
skycity2,0,0,0,0,0,0,0,0,0
gore1,1,14,12,7,6,0,0,12,11
gore2,1,14,13,7,6,0,0,13,12
gore3,1,14,13,0,0,0,0,13,12
gore4,1,11,10,5,5,0,0,9,8
gore5,1,24,6,0,0,0,0,23,5
blood,19,32,32,16,16,10,9,21,21
coin,8,32,32,0,0,16,5,23,28
coingib1,1,13,12,6,6,0,0,12,11
coingib2,1,14,13,7,6,0,0,13,12
periodbleeders,1,384,256,0,0,0,0,383,255
