name,frames,width,height,origin_x,origin_y,bbox_left,bbox_top,bbox_right,bbox_bottom
airlift,6,32,32,0,0,0,0,31,31
player,1,32,32,0,0,0,0,31,14
girl_player_walk,4,32,32,16,16,15,31,15,31
girl_player_stand,1,32,32,16,16,15,31,15,31
obs_sprite,1,16,16,0,0,0,0,15,1
bullet,1,8,8,0,0,2,2,5,5
cp_active,1,16,16,0,0,0,0,15,15
stand,1,32,32,0,0,31,31,0,0
slope,1,16,16,0,0,0,0,15,15
s_sam_walk,6,19,19,9,3,10,18,10,18
s_sam_stand,1,19,19,9,3,10,18,10,18
s_sam_jump,1,19,19,9,3,10,18,10,18
s_screen,1,240,136,0,0,0,0,239,135
s_press,8,23,12,0,0,1,1,21,10
s_apple,1,16,16,0,-2,5,15,10,15
s_tree,1,83,68,0,0,2,2,80,65
s_water,1,26,26,0,0,0,0,25,25
s_waterend,4,28,28,0,0,0,0,27,27
s_grass,1,22,136,0,0,0,0,21,135
s_grass2,1,22,136,0,0,0,0,21,135
giant,1,300,300,0,0,0,0,299,299
